id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
0.0,[0.303 0.    0.619 0.078],[0.303 0.    0.619 0.    0.078],[0.055 0.248 0.    0.    0.    0.619 0.    0.    0.078 0.   ],0.5626666666666665,0.6525,0.7411111111111112
1.0,[0.187 0.    0.456 0.357],[0.187 0.    0.456 0.    0.357],[0.032 0.155 0.    0.    0.    0.456 0.    0.    0.357 0.001],0.41733333333333333,0.51625,0.7416666666666665
2.0,[0.168 0.    0.487 0.345],[0.168 0.    0.487 0.    0.345],[0.062 0.107 0.    0.    0.    0.487 0.    0.    0.345 0.   ],0.4426666666666666,0.54,0.7094444444444445
3.0,[0.175 0.    0.789 0.036],[0.175 0.    0.789 0.    0.036],[0.    0.175 0.    0.    0.    0.789 0.    0.    0.036 0.   ],0.7186666666666667,0.73625,0.848888888888889
4.0,[0.025 0.    0.975 0.   ],[0.025 0.    0.975 0.    0.   ],[0.025 0.    0.    0.    0.    0.975 0.    0.    0.    0.   ],0.9666666666666667,0.9687499999999999,0.9722222222222223
5.0,[0.263 0.    0.247 0.49 ],[0.263 0.    0.247 0.    0.49 ],[0.    0.263 0.    0.    0.    0.247 0.    0.    0.49  0.   ],0.3373333333333333,0.5,0.7777777777777778
6.0,[0.039 0.    0.65  0.311],[0.039 0.    0.65  0.    0.311],[0.003 0.036 0.    0.    0.    0.65  0.    0.    0.311 0.   ],0.6146666666666666,0.7012499999999999,0.8455555555555556
7.0,[0.02 0.   0.98 0.  ],[0.02 0.   0.98 0.   0.  ],[0.   0.02 0.   0.   0.   0.98 0.   0.   0.   0.  ],0.9733333333333333,0.975,0.9777777777777779
12.0,[0.198 0.    0.574 0.229],[0.198 0.    0.574 0.    0.229],[0.052 0.146 0.    0.    0.    0.574 0.    0.    0.229 0.   ],0.4313333333333333,0.503125,0.7205555555555556
13.0,[0.21  0.    0.642 0.148],[0.21  0.    0.642 0.    0.148],[0.034 0.176 0.    0.    0.    0.642 0.    0.    0.147 0.001],0.5226666666666667,0.5650000000000001,0.7388888888888889
14.0,[0.128 0.    0.279 0.594],[0.128 0.    0.279 0.    0.594],[0.002 0.126 0.    0.    0.    0.279 0.    0.    0.594 0.   ],0.49666666666666665,0.590625,0.7761111111111112
16.0,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
25.0,[0.263 0.    0.499 0.238],[0.263 0.    0.499 0.    0.238],[0.028 0.235 0.    0.    0.    0.499 0.    0.    0.238 0.   ],0.34933333333333333,0.5,0.7466666666666667
26.0,[0.141 0.    0.626 0.233],[0.141 0.    0.626 0.    0.233],[0.011 0.131 0.    0.    0.    0.626 0.    0.    0.233 0.   ],0.5013333333333333,0.57375,0.7661111111111112
27.0,[0.16  0.    0.504 0.336],[0.16  0.    0.504 0.    0.336],[0.033 0.126 0.    0.    0.    0.504 0.    0.    0.335 0.001],0.4533333333333333,0.5499999999999999,0.7394444444444445
28.0,[0.331 0.    0.449 0.22 ],[0.331 0.    0.449 0.    0.22 ],[0.072 0.259 0.    0.    0.    0.449 0.    0.    0.188 0.031],0.37333333333333335,0.5,0.6627777777777778
29.0,[0.017 0.    0.761 0.222],[0.017 0.    0.761 0.    0.222],[0.    0.017 0.    0.    0.    0.761 0.    0.    0.222 0.   ],0.6813333333333333,0.7287499999999999,0.8700000000000001
30.0,[0.063 0.    0.609 0.328],[0.063 0.    0.609 0.    0.328],[0.003 0.061 0.    0.    0.    0.609 0.    0.    0.322 0.005],0.5826666666666668,0.6712499999999999,0.8122222222222222
31.0,[0.124 0.    0.54  0.336],[0.124 0.    0.54  0.    0.336],[0.044 0.079 0.    0.    0.    0.54  0.    0.    0.333 0.003],0.5013333333333333,0.595,0.7483333333333333
32.0,[0.    0.    0.964 0.036],[0.    0.    0.964 0.    0.036],[0.    0.    0.    0.    0.    0.964 0.    0.    0.036 0.   ],0.952,0.955,0.9600000000000001
33.0,[0.551 0.    0.186 0.263],[0.551 0.    0.186 0.    0.263],[0.486 0.065 0.    0.    0.    0.186 0.    0.    0.263 0.   ],0.4186666666666667,0.5175,0.7055555555555557
34.0,[0.091 0.    0.364 0.545],[0.091 0.    0.364 0.    0.545],[0.    0.091 0.    0.    0.    0.364 0.    0.    0.545 0.   ],0.5453333333333333,0.63625,0.7877777777777778
36.0,[0.116 0.    0.715 0.169],[0.116 0.    0.715 0.    0.169],[0.    0.116 0.    0.    0.    0.715 0.    0.    0.166 0.002],0.62,0.6437499999999998,0.7750000000000001
37.0,[0.282 0.    0.475 0.243],[0.282 0.    0.475 0.    0.243],[0.016 0.267 0.    0.    0.    0.475 0.    0.    0.166 0.077],0.3426666666666666,0.4999999999999999,0.675
38.0,[0.302 0.    0.375 0.323],[0.302 0.    0.375 0.    0.323],[0.    0.302 0.    0.    0.    0.375 0.    0.    0.319 0.004],0.3333333333333333,0.5,0.7733333333333334
39.0,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
40.0,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
41.0,[0.091 0.    0.727 0.182],[0.091 0.    0.727 0.    0.182],[0.    0.091 0.    0.    0.    0.727 0.    0.    0.182 0.   ],0.636,0.65875,0.7877777777777779
43.0,[0.137 0.    0.757 0.106],[0.137 0.    0.757 0.    0.106],[0.033 0.104 0.    0.    0.    0.757 0.    0.    0.056 0.05 ],0.676,0.69625,0.7344444444444446
44.0,[0.155 0.    0.501 0.344],[0.155 0.    0.501 0.    0.344],[0.001 0.154 0.    0.    0.    0.501 0.    0.    0.287 0.057],0.45999999999999996,0.5562499999999999,0.7133333333333334
45.0,[0.035 0.    0.026 0.939],[0.035 0.    0.026 0.    0.939],[0.    0.035 0.    0.    0.    0.026 0.    0.    0.93  0.009],0.9186666666666666,0.92375,0.9222222222222222
50.0,[0.01  0.    0.885 0.105],[0.01  0.    0.885 0.    0.105],[0.    0.01  0.    0.    0.    0.885 0.    0.    0.105 0.   ],0.8466666666666667,0.8562500000000001,0.8777777777777778
51.0,[0.125 0.    0.653 0.221],[0.125 0.    0.653 0.    0.221],[0.023 0.103 0.    0.    0.    0.653 0.    0.    0.216 0.005],0.538,0.5931249999999999,0.7466666666666667
52.0,[0.226 0.    0.521 0.252],[0.226 0.    0.521 0.    0.252],[0.072 0.155 0.    0.    0.    0.521 0.    0.    0.252 0.001],0.3646666666666667,0.49937500000000007,0.6972222222222222
53.0,[0.185 0.    0.512 0.303],[0.185 0.    0.512 0.    0.303],[0.016 0.169 0.    0.    0.    0.512 0.    0.    0.296 0.008],0.41999999999999993,0.51875,0.7516666666666666
54.0,[0.016 0.    0.662 0.322],[0.016 0.    0.662 0.    0.322],[0.    0.016 0.    0.    0.    0.662 0.    0.    0.317 0.005],0.6453333333333333,0.7300000000000001,0.8655555555555555
55.0,[0.114 0.    0.605 0.281],[0.114 0.    0.605 0.    0.281],[0.006 0.108 0.    0.    0.    0.605 0.    0.    0.28  0.001],0.5146666666666667,0.6074999999999999,0.7699999999999999
56.0,[0.147 0.    0.602 0.251],[0.147 0.    0.602 0.    0.251],[0.001 0.146 0.    0.    0.    0.602 0.    0.    0.24  0.011],0.4706666666666666,0.5662499999999999,0.7644444444444444
57.0,[0.133 0.    0.559 0.308],[0.133 0.    0.559 0.    0.308],[0.    0.133 0.    0.    0.    0.559 0.    0.    0.308 0.   ],0.48933333333333334,0.58375,0.7777777777777778
58.0,[0.144 0.    0.544 0.312],[0.144 0.    0.544 0.    0.312],[0.055 0.089 0.    0.    0.    0.544 0.    0.    0.312 0.   ],0.4746666666666666,0.57,0.7288888888888889
59.0,[0.021 0.    0.64  0.339],[0.021 0.    0.64  0.    0.339],[0.011 0.009 0.    0.    0.    0.64  0.    0.    0.187 0.152],0.6386666666666666,0.7237499999999999,0.7550000000000001
60.0,[0.168 0.    0.681 0.151],[0.168 0.    0.681 0.    0.151],[0.001 0.167 0.    0.    0.    0.681 0.    0.    0.149 0.003],0.5746666666666667,0.6012500000000001,0.7738888888888887
61.0,[0.137 0.    0.522 0.341],[0.137 0.    0.522 0.    0.341],[0.052 0.085 0.    0.    0.    0.522 0.    0.    0.337 0.004],0.484,0.5787499999999999,0.7322222222222222
