,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
0,1,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
1,2,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
2,13,[0. 1. 0. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
3,25,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
4,26,[0.043 0.043 0.739 0.174],[0.    0.043 0.783 0.    0.174],[0.    0.    0.043 0.    0.043 0.739 0.    0.    0.174 0.   ],0.6526666666666667,0.7287499999999999,0.7927777777777779
5,27,[0.107 0.107 0.214 0.571],[0.    0.107 0.321 0.    0.571],[0.    0.    0.107 0.    0.107 0.214 0.    0.    0.571 0.   ],0.4286666666666667,0.615625,0.6661111111111111
6,28,[0.647 0.    0.118 0.235],[0.    0.647 0.118 0.    0.235],[0.    0.    0.647 0.    0.    0.118 0.    0.    0.235 0.   ],0.5293333333333333,0.6024999999999999,0.7777777777777778
7,29,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
8,30,[0.    0.    0.667 0.333],[0.    0.    0.667 0.    0.333],[0.    0.    0.    0.    0.    0.667 0.    0.    0.333 0.   ],0.6666666666666666,0.7499999999999999,0.888888888888889
9,31,[0.  0.  0.2 0.8],[0.  0.  0.2 0.  0.8],[0.  0.  0.  0.  0.  0.2 0.  0.  0.4 0.4],0.7333333333333334,0.7500000000000001,0.7777777777777778
10,33,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
11,36,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
12,37,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
13,41,[0. 1. 0. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
14,50,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
15,51,[0.    0.121 0.758 0.121],[0.    0.    0.879 0.    0.121],[0.    0.    0.    0.    0.121 0.758 0.    0.    0.121 0.   ],0.6773333333333333,0.84875,0.7777777777777777
16,52,[0.    0.    0.929 0.071],[0.    0.    0.929 0.    0.071],[0.    0.    0.    0.    0.    0.929 0.    0.    0.014 0.057],0.9053333333333334,0.9112499999999999,0.921111111111111
17,53,[0.037 0.049 0.28  0.634],[0.    0.037 0.329 0.    0.634],[0.    0.    0.037 0.    0.049 0.28  0.    0.    0.073 0.561],0.552,0.7037499999999999,0.7122222222222222
18,54,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
19,55,[0.  0.1 0.5 0.4],[0.  0.  0.6 0.  0.4],[0.  0.  0.  0.  0.1 0.5 0.  0.  0.4 0. ],0.5333333333333333,0.7499999999999999,0.7777777777777778
20,56,[0.    0.    0.733 0.267],[0.    0.    0.733 0.    0.267],[0.    0.    0.    0.    0.    0.733 0.    0.    0.267 0.   ],0.6666666666666666,0.7499999999999999,0.8888888888888891
21,58,[0.    0.    0.333 0.667],[0.    0.    0.333 0.    0.667],[0.    0.    0.    0.    0.    0.333 0.    0.    0.667 0.   ],0.6666666666666666,0.7500000000000001,0.888888888888889
22,59,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
23,60,[0.   0.   0.95 0.05],[0.   0.   0.95 0.   0.05],[0.   0.   0.   0.   0.   0.95 0.   0.   0.05 0.  ],0.9333333333333332,0.9375,0.9444444444444444
24,61,[0.    0.075 0.873 0.052],[0.    0.    0.948 0.    0.052],[0.    0.    0.    0.    0.075 0.873 0.    0.    0.052 0.   ],0.8306666666666667,0.9349999999999999,0.858888888888889
25,62,[0.    0.    0.455 0.545],[0.    0.    0.455 0.    0.545],[0.    0.    0.    0.    0.    0.455 0.    0.    0.545 0.   ],0.6666666666666666,0.7499999999999999,0.8888888888888891
26,63,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
27,65,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
28,67,[0. 0. 1. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
29,68,[0. 1. 0. 0.],[0. 0. 1. 0. 0.],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],1.0,1.0,1.0000000000000002
30,69,[0.    0.077 0.846 0.077],[0.    0.    0.923 0.    0.077],[0.    0.    0.    0.    0.077 0.846 0.    0.    0.077 0.   ],0.7946666666666666,0.90375,0.828888888888889
31,77,[0.    0.    0.875 0.125],[0.    0.    0.875 0.    0.125],[0.    0.    0.    0.    0.    0.875 0.    0.    0.125 0.   ],0.8333333333333334,0.84375,0.888888888888889
32,78,[0.    0.    0.615 0.385],[0.    0.    0.615 0.    0.385],[0.    0.    0.    0.    0.    0.615 0.    0.    0.308 0.077],0.6666666666666666,0.7499999999999999,0.8033333333333331
33,79,[0. 0. 0. 1.],[0. 0. 0. 0. 1.],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0.],1.0,1.0,1.0000000000000002
34,80,[0.    0.    0.812 0.188],[0.    0.    0.812 0.    0.188],[0.    0.    0.    0.    0.    0.812 0.    0.    0.188 0.   ],0.7493333333333334,0.7649999999999999,0.888888888888889
35,81,[0.  0.  0.5 0.5],[0.  0.  0.5 0.  0.5],[0.  0.  0.  0.  0.  0.5 0.  0.  0.5 0. ],0.6666666666666666,0.7499999999999999,0.888888888888889
36,82,[0.005 0.    0.995 0.   ],[0.    0.005 0.995 0.    0.   ],[0.    0.    0.005 0.    0.    0.995 0.    0.    0.    0.   ],0.9933333333333333,0.9937499999999999,0.9944444444444446
37,83,[0.4 0.2 0.4 0. ],[0.  0.4 0.6 0.  0. ],[0.  0.  0.4 0.  0.2 0.4 0.  0.  0.  0. ],0.4000000000000001,0.7499999999999999,0.7777777777777779
