,id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
0,360610005000.0,[0.307 0.249 0.155 0.289],[0.202 0.129 0.27  0.137 0.262],[0.169 0.034 0.111 0.018 0.224 0.046 0.081 0.056 0.055 0.207],0.12799999999999997,0.1675,0.345
1,360610005001.0,[0.1641 0.2273 0.1932 0.4151],[0.131  0.1475 0.1695 0.2614 0.2903],[0.0978 0.0334 0.066  0.0816 0.1128 0.0571 0.075  0.1862 0.1128 0.1778],0.22033333333333335,0.1898125,0.2103888888888889
2,360810709001.0,[0.115 0.234 0.312 0.339],[0.115 0.073 0.328 0.248 0.236],[0.072 0.043 0.011 0.062 0.161 0.167 0.107 0.141 0.095 0.141],0.20133333333333336,0.26499999999999996,0.2411111111111111
3,360610218001.0,[0.4352 0.2218 0.1542 0.1879],[0.3768 0.1988 0.1637 0.1053 0.1545],[0.2608 0.1169 0.1005 0.0993 0.0814 0.0823 0.0578 0.0465 0.0656 0.0898],0.2475333333333333,0.22156250000000002,0.19749999999999995
4,360610218002.0,[0.5693 0.1678 0.1964 0.0666],[0.4185 0.238  0.231  0.0467 0.0662],[0.2988 0.1197 0.1623 0.0755 0.0805 0.1501 0.0447 0.0019 0.0098 0.0564],0.4256666666666667,0.35912499999999997,0.36783333333333335
5,360610218003.0,[0.2741 0.2358 0.3851 0.1049],[0.2509 0.1194 0.3415 0.2121 0.076 ],[0.158  0.0931 0.0587 0.0608 0.1394 0.2018 0.1829 0.0293 0.0393 0.0367],0.21233333333333335,0.2556875,0.31344444444444447
6,360610218004.0,[0.3328 0.2017 0.3513 0.1141],[0.3185 0.1311 0.3234 0.1334 0.0935],[0.2504 0.0687 0.0541 0.077  0.0848 0.2386 0.0947 0.0388 0.047  0.0464],0.24553333333333335,0.3024375,0.32083333333333336
7,360810922001.0,[0.036 0.279 0.05  0.635],[0.022 0.05  0.257 0.065 0.606],[0.014 0.007 0.029 0.022 0.243 0.014 0.029 0.036 0.549 0.058],0.552,0.5787499999999999,0.6572222222222223
8,360850047001.0,[0.322 0.    0.206 0.472],[0.262 0.06  0.064 0.202 0.412],[0.099 0.163 0.06  0.    0.    0.064 0.103 0.099 0.142 0.27 ],0.39199999999999996,0.34500000000000003,0.30888888888888894
9,360810111002.0,[0.125 0.125 0.75  0.   ],[0.    0.125 0.625 0.25  0.   ],[0.    0.    0.125 0.    0.125 0.5   0.125 0.125 0.    0.   ],0.6666666666666666,0.5937499999999999,0.5555555555555556
10,360470143003.0,[0.159 0.341 0.244 0.256],[0.159 0.195 0.146 0.244 0.256],[0.11  0.049 0.098 0.098 0.146 0.    0.11  0.134 0.207 0.049],0.12933333333333336,0.125,0.22944444444444442
11,360050516000.0,[0.272 0.546 0.182 0.   ],[0.272 0.069 0.477 0.182 0.   ],[0.161 0.111 0.    0.069 0.477 0.    0.036 0.146 0.    0.   ],0.4240000000000001,0.43624999999999997,0.5499999999999999
12,360470569002.0,[0.155 0.426 0.118 0.301],[0.155 0.308 0.167 0.18  0.19 ],[0.032 0.123 0.162 0.146 0.118 0.049 0.    0.18  0.118 0.072],0.3026666666666667,0.135,0.27444444444444444
13,360470356021.0,[0.373 0.443 0.123 0.062],[0.323 0.356 0.238 0.034 0.049],[0.096 0.228 0.158 0.198 0.136 0.101 0.    0.034 0.037 0.013],0.4206666666666667,0.39625,0.3561111111111111
14,360470356023.0,[0.276 0.387 0.219 0.118],[0.2   0.337 0.224 0.154 0.086],[0.096 0.103 0.157 0.18  0.127 0.097 0.105 0.048 0.038 0.048],0.21733333333333338,0.20062500000000003,0.19166666666666665
15,360610259001.0,[0.5173 0.1175 0.2802 0.085 ],[0.4759 0.1355 0.1941 0.1261 0.0683],[0.3519 0.1236 0.0644 0.0711 0.0233 0.1709 0.0585 0.0676 0.0195 0.0488],0.39666666666666667,0.3449375,0.3851111111111112
16,360610259002.0,[0.4011 0.2492 0.2947 0.0555],[0.3968 0.1588 0.3263 0.0681 0.0493],[0.2281 0.1688 0.0674 0.0914 0.0941 0.2327 0.0222 0.0465 0.0341 0.0153],0.2607333333333333,0.4043125,0.36588888888888893
17,360810365002.0,[0.295 0.41  0.148 0.148],[0.148 0.295 0.262 0.148 0.148],[0.148 0.    0.148 0.148 0.262 0.    0.148 0.    0.    0.148],0.2726666666666666,0.19562500000000002,0.4455555555555556
18,360470397002.0,[0.5 0.5 0.  0. ],[0.5 0.  0.5 0.  0. ],[0.5 0.  0.  0.  0.5 0.  0.  0.  0.  0. ],0.6666666666666666,0.7499999999999999,0.888888888888889
19,360610087001.0,[0.1771 0.2081 0.2015 0.4133],[0.1645 0.1409 0.1494 0.2225 0.3226],[0.1123 0.0521 0.0435 0.0974 0.0799 0.0694 0.0585 0.1642 0.1028 0.22  ],0.21773333333333333,0.1814375,0.2213888888888889
20,360610087002.0,[0.1429 0.1633 0.2339 0.4598],[0.1274 0.0988 0.1744 0.2394 0.3602],[0.0969 0.0303 0.019  0.0798 0.0801 0.0943 0.0517 0.1877 0.1091 0.2511],0.2798,0.249375,0.27544444444444444
21,360610087003.0,[0.2224 0.181  0.2285 0.368 ],[0.1933 0.1088 0.1816 0.1808 0.3355],[0.1108 0.0823 0.0402 0.0688 0.1015 0.0803 0.0931 0.0877 0.1054 0.2301],0.1574,0.16937500000000003,0.1641111111111111
22,360610087004.0,[0.1988 0.2857 0.1272 0.3882],[0.181  0.2371 0.1679 0.0479 0.3662],[0.1198 0.0611 0.1131 0.124  0.0664 0.1016 0.0061 0.0418 0.1529 0.2134],0.23193333333333332,0.2540625,0.24966666666666668
23,360610087005.0,[0.1832 0.1787 0.2361 0.4015],[0.1526 0.1501 0.1528 0.2452 0.2989],[0.1109 0.0412 0.0601 0.09   0.0593 0.0936 0.0703 0.1754 0.1055 0.1929],0.20233333333333334,0.18037499999999998,0.20566666666666666
24,360050385001.0,[1. 0. 0. 0.],[1. 0. 0. 0. 0.],[0.5 0.5 0.  0.  0.  0.  0.  0.  0.  0. ],1.0,0.9999999999999999,0.888888888888889
25,360050385002.0,[0.5 0.4 0.1 0. ],[0.5 0.2 0.2 0.1 0. ],[0.4 0.1 0.2 0.  0.2 0.  0.  0.1 0.  0. ],0.5333333333333333,0.37500000000000006,0.5555555555555556
26,360050385003.0,[0.5 0.  0.  0.5],[0.5 0.  0.  0.  0.5],[0.5 0.  0.  0.  0.  0.  0.  0.  0.  0.5],0.6666666666666666,0.7499999999999999,0.888888888888889
27,360810619002.0,[0.1075 0.1881 0.5195 0.1858],[0.1075 0.1881 0.1075 0.412  0.1858],[0.1075 0.     0.1881 0.     0.     0.1075 0.412  0.     0.1858 0.    ],0.35873333333333335,0.2644375,0.5560555555555555
28,360470610043.0,[0.19  0.153 0.237 0.419],[0.    0.307 0.103 0.353 0.236],[0.    0.    0.19  0.116 0.037 0.066 0.138 0.216 0.207 0.029],0.22599999999999998,0.370625,0.40833333333333327
29,360610128001.0,[0.2431 0.1675 0.149  0.4405],[0.1614 0.1799 0.1189 0.1469 0.393 ],[0.0982 0.0631 0.1139 0.066  0.0696 0.0494 0.0528 0.0939 0.1397 0.2534],0.25393333333333334,0.2411875,0.23
30,360610128002.0,[0.1902 0.2296 0.117  0.4629],[0.1427 0.1287 0.1944 0.1016 0.4326],[0.1079 0.0348 0.0726 0.0559 0.1485 0.046  0.0334 0.0683 0.0765 0.3558],0.28406666666666663,0.29075,0.34705555555555556
31,360610128003.0,[0.1337 0.2919 0.1594 0.4151],[0.0958 0.2002 0.2057 0.1395 0.359 ],[0.0733 0.0225 0.0872 0.1133 0.1298 0.0759 0.0543 0.0853 0.134  0.2247],0.27593333333333336,0.20599999999999996,0.22405555555555562
32,360610128004.0,[0.1767 0.2034 0.1256 0.4941],[0.1288 0.1629 0.1581 0.1208 0.4292],[0.0928 0.036  0.0852 0.0777 0.0884 0.0698 0.0436 0.0772 0.1521 0.2773],0.3256,0.286625,0.2548333333333333
