id,distribution_4,distribution_5,distribution_10,seg4,seg5,seg10
360610002011,[0.273 0.323 0.103 0.301],[0.271 0.322 0.006 0.149 0.252],[0.269 0.002 0.312 0.01  0.003 0.003 0.099 0.051 0.027 0.224],0.19600000000000004,0.30625,0.561111111111111
360610002012,[0.261 0.277 0.177 0.285],[0.244 0.18  0.166 0.174 0.236],[0.184 0.06  0.098 0.082 0.113 0.052 0.088 0.086 0.037 0.199],0.09733333333333334,0.09999999999999999,0.21833333333333332
360610002021,[0.493 0.234 0.122 0.151],[0.3   0.337 0.093 0.121 0.148],[0.282 0.019 0.311 0.027 0.089 0.004 0.034 0.087 0.015 0.133],0.324,0.29687499999999994,0.47277777777777774
360610002023,[0.595 0.264 0.039 0.102],[0.595 0.235 0.029 0.048 0.093],[0.595 0.    0.23  0.005 0.029 0.    0.039 0.009 0.059 0.034],0.47866666666666663,0.5375,0.6944444444444444
360610002024,[0.583 0.174 0.113 0.13 ],[0.572 0.153 0.086 0.084 0.105],[0.509 0.063 0.07  0.083 0.032 0.054 0.038 0.047 0.051 0.054],0.444,0.4649999999999999,0.45388888888888895
360610002025,[0.14  0.132 0.144 0.584],[0.083 0.131 0.063 0.461 0.262],[0.041 0.042 0.093 0.038 0.058 0.005 0.106 0.354 0.013 0.249],0.4453333333333333,0.40375000000000005,0.45499999999999996
360610006001,[0.269 0.384 0.208 0.139],[0.264 0.192 0.231 0.179 0.134],[0.17  0.094 0.077 0.115 0.197 0.035 0.097 0.082 0.065 0.068],0.20400000000000004,0.11875000000000001,0.20222222222222228
360610006002,[0.265 0.236 0.226 0.273],[0.227 0.159 0.199 0.198 0.217],[0.158 0.069 0.078 0.081 0.115 0.085 0.088 0.11  0.1   0.117],0.05066666666666669,0.05499999999999999,0.11055555555555556
360610006003,[0.481 0.267 0.13  0.123],[0.429 0.238 0.156 0.058 0.12 ],[0.311 0.118 0.124 0.114 0.081 0.075 0.036 0.022 0.022 0.098],0.33,0.33312499999999995,0.29611111111111105
360610006004,[0.413 0.424 0.107 0.055],[0.349 0.385 0.111 0.1   0.055],[0.178 0.171 0.207 0.178 0.103 0.008 0.097 0.002 0.045 0.01 ],0.45,0.4175,0.375
360610006005,[0.53  0.14  0.145 0.185],[0.525 0.095 0.088 0.142 0.15 ],[0.495 0.03  0.034 0.061 0.05  0.038 0.077 0.065 0.103 0.047],0.37333333333333335,0.40625000000000006,0.4422222222222223
360610006006,[0.504 0.126 0.198 0.173],[0.494 0.117 0.114 0.137 0.138],[0.456 0.038 0.035 0.082 0.018 0.096 0.039 0.098 0.063 0.075],0.338,0.36750000000000005,0.3955555555555556
360610007001,[0.161 0.215 0.18  0.444],[0.142 0.144 0.151 0.16  0.403],[0.085 0.058 0.051 0.093 0.09  0.061 0.071 0.089 0.065 0.339],0.25866666666666666,0.25375000000000003,0.2644444444444445
360610008001,[0.262 0.195 0.245 0.297],[0.262 0.124 0.171 0.211 0.231],[0.152 0.111 0.042 0.082 0.071 0.1   0.047 0.165 0.102 0.129],0.07933333333333333,0.130625,0.17611111111111113
360610008002,[0.548 0.111 0.18  0.16 ],[0.548 0.084 0.064 0.186 0.118],[0.31  0.238 0.032 0.052 0.027 0.037 0.022 0.164 0.031 0.087],0.3980000000000001,0.4350000000000001,0.45777777777777773
360610008003,[0.734 0.052 0.058 0.156],[0.734 0.002 0.05  0.207 0.007],[0.223 0.51  0.    0.002 0.05  0.    0.058 0.149 0.002 0.006],0.6453333333333332,0.67625,0.6466666666666667
360610008004,[0.583 0.333 0.    0.083],[0.583 0.167 0.167 0.083 0.   ],[0.    0.583 0.    0.167 0.167 0.    0.    0.083 0.    0.   ],0.5553333333333333,0.47875,0.6855555555555557
360610008005,[0.277 0.291 0.207 0.226],[0.241 0.193 0.208 0.183 0.175],[0.094 0.147 0.084 0.109 0.134 0.074 0.107 0.076 0.068 0.107],0.09000000000000001,0.06125,0.11555555555555554
360610008006,[0.249 0.288 0.23  0.234],[0.223 0.24  0.144 0.199 0.194],[0.136 0.088 0.091 0.148 0.074 0.07  0.082 0.117 0.077 0.117],0.04999999999999997,0.07875,0.13111111111111112
360610009001,[0.143 0.235 0.254 0.367],[0.12  0.167 0.179 0.216 0.317],[0.064 0.056 0.058 0.11  0.092 0.088 0.104 0.112 0.065 0.253],0.162,0.166875,0.19777777777777777
360610010011,[0.195 0.291 0.263 0.251],[0.169 0.21  0.201 0.208 0.211],[0.106 0.063 0.073 0.137 0.107 0.095 0.111 0.097 0.058 0.153],0.07333333333333332,0.038124999999999964,0.12666666666666668
360610010021,[0.896 0.059 0.013 0.031],[0.896 0.04  0.02  0.026 0.018],[0.878 0.018 0.021 0.018 0.02  0.    0.013 0.012 0.012 0.006],0.862,0.8699999999999999,0.8655555555555555
360610010022,[0.316 0.258 0.202 0.223],[0.308 0.141 0.176 0.189 0.187],[0.224 0.084 0.039 0.101 0.126 0.05  0.112 0.077 0.049 0.138],0.09933333333333333,0.13437500000000002,0.22333333333333333
360610010023,[0.324 0.103 0.129 0.444],[0.314 0.056 0.071 0.403 0.156],[0.296 0.018 0.028 0.028 0.057 0.014 0.096 0.308 0.016 0.14 ],0.35733333333333334,0.39625000000000005,0.4927777777777777
360610012001,[0.388 0.316 0.136 0.159],[0.381 0.217 0.141 0.114 0.147],[0.109 0.272 0.105 0.112 0.107 0.034 0.081 0.032 0.029 0.118],0.27266666666666667,0.2475,0.2483333333333333
360610012002,[0.275 0.444 0.178 0.103],[0.262 0.226 0.252 0.168 0.093],[0.165 0.097 0.115 0.111 0.232 0.02  0.042 0.126 0.023 0.07 ],0.29200000000000004,0.174375,0.2761111111111111
360610012003,[0.289 0.258 0.221 0.231],[0.267 0.153 0.196 0.192 0.192],[0.199 0.068 0.06  0.093 0.128 0.067 0.075 0.118 0.043 0.149],0.06333333333333331,0.08375000000000002,0.21555555555555556
